Volkswagen LT,Lagos,Foreign Used,1998,280000,Manual,2000000
Acura MDX Sport Package,Rivers,Locally Used,2007,143000,Automatic,3500000
Lexus ES 350,Delta,Foreign Used,2007,119000,Automatic,4400000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2014,400000,Automatic,15000000
Honda Pilot EX Automatic,Lagos,Foreign Used,2004,98523,Automatic,1850000
Toyota Camry 2.4,Lagos,Foreign Used,2003,120523,Automatic,1620000
Toyota Corolla 1.8 VVTL-i,Lagos,Foreign Used,2003,78024,Automatic,1880000
Lexus RX 300,Lagos,Locally Used,2000,130234,Automatic,1450000
Toyota Sienna,Lagos,Foreign Used,2006,140234,Automatic,2400000
Toyota Sienna,Lagos,Foreign Used,2004,120345,Automatic,2200000
Toyota Corolla,Lagos,Foreign Used,2005,98234,Automatic,1799999
Toyota Venza,Lagos,Locally Used,2010,62541,Automatic,3850000
Honda Accord LX Automatic,Lagos,Locally Used,2001,168523,Automatic,520000
Toyota Corolla 1.8 Sedan Automatic,Lagos,Foreign Used,2012,120021,Automatic,3450000
Mercedes-Benz C350,Lagos,Locally Used,2008,120342,Automatic,2800000
Toyota Sienna CE,Lagos,Foreign Used,2000,150234,Automatic,1350000
Honda Accord Sedan EX-L,Lagos,Foreign Used,2013,29524,Automatic,5100000
Toyota Corolla Automatic,Lagos,Locally Used,2005,110234,Automatic,1300000
Honda Accord CrossTour EX-L AWD,Lagos,Foreign Used,2013,1,Automatic,7300000
Toyota RAV4 2.0 4x4,Lagos,Foreign Used,2006,70000,Automatic,2500000
Ford Edge Limited AWD,Lagos,Foreign Used,2012,52147,Automatic,6300000
Acura ZDX,Lagos,Foreign Used,2011,32178,Automatic,10500000
Kia Carens 1.8 EX Automatic,Lagos,Locally Used,2009,73000,Automatic,1450000
Toyota Sequoia Limited 4WD 5.7L V8,Lagos,Foreign Used,2012,25144,Automatic,9900000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2011,1,Automatic,6750000
Honda Accord Coupe EX,Lagos,Foreign Used,2013,1,Automatic,5000000
Toyota Highlander Limited V6,Lagos,Foreign Used,2010,1,Automatic,6700000
Toyota Avalon XLE,Lagos,Foreign Used,2008,9,Automatic,3000000
Mercedes-Benz 814,Lagos,Foreign Used,2000,30000,Automatic,3550000
Toyota Corolla CE,Lagos,Foreign Used,2007,165863,Automatic,2250000
Honda CR-V 2.0 4WD Automatic,Lagos,Locally Used,2000,150,Automatic,650000
Hyundai Accent,Lagos,Locally Used,2014,5000,Automatic,2250000
Honda Pilot EX 4WD Automatic,Abuja,Foreign Used,2006,95000,Automatic,1800000
Honda Accord CrossTour EX-L AWD,Lagos,Foreign Used,2013,33844,Automatic,6800000
Honda CR-V EX-L 4WD Automatic,Lagos,Foreign Used,2015,22903,Automatic,9800000
Mercedes-Benz GLK,Lagos,Foreign Used,2010,42733,Automatic,6900000
Mercedes-Benz C300,Lagos,Foreign Used,2009,54632,Automatic,4600000
Lexus IS 250 SE AWD,Lagos,Foreign Used,2006,85638,Automatic,3200000
Honda Accord CrossTour,Lagos,Foreign Used,2010,51934,Automatic,4400000
Toyota Highlander,Lagos,Foreign Used,2010,50394,Automatic,6200000
Toyota Corolla 1.8,Lagos,Foreign Used,2007,62840,Automatic,2300000
Toyota Venza LE FWD V6,Lagos,Foreign Used,2013,43748,Automatic,6800000
Toyota Matrix XRS Automatic,Lagos,Foreign Used,2004,62840,Automatic,1750000
Toyota Camry 3.0 V6 Automatic,Lagos,Locally Used,2004,76387,Automatic,1450000
Honda Accord Coupe EX Automatic,Lagos,Locally Used,2008,118,Automatic,1650000
Lexus ES 330,Lagos,Foreign Used,2006,115,Automatic,2350000
Mercedes-Benz C230,Lagos,Foreign Used,2002,100,Automatic,2000000
Mitsubishi Pajero 3.5 V6 GDI Elegance Automatic,Lagos,Locally Used,2003,149,Automatic,1500000
Mazda 626 1.8,Lagos,Foreign Used,1999,115,Manual,950000
Toyota RAV4 Automatic,Lagos,Foreign Used,2002,90,Automatic,2150000
Pontiac Vibe Automatic,Lagos,Foreign Used,2004,119000,Automatic,1680000
Mercedes-Benz C300,Lagos,Foreign Used,2000,121,Manual,1050000
Dodge Caliber,Lagos,Locally Used,2007,105,Automatic,1200000
Mercedes-Benz R Class 3.0 CDI,Lagos,Foreign Used,2006,156,Automatic,3000000
Toyota Camry 3.5 XLE,Lagos,Foreign Used,2007,131000,Automatic,2700000
Nissan Armada Titanium,Lagos,Foreign Used,2007,105,Automatic,2400000
Toyota Avalon XLS,Lagos,Foreign Used,2003,131000,Automatic,1650000
Toyota Corolla LE Automatic,Lagos,Foreign Used,2007,108,Automatic,2200000
Toyota Corolla CE,Lagos,Foreign Used,2008,83,Automatic,2300000
Mercedes-Benz C300,Lagos,Foreign Used,2016,12000,Automatic,18000000
Toyota Camry XLE Automatic,Lagos,Foreign Used,2009,78743,Automatic,2600000
Honda Accord Coupe EX-L V-6 Automatic,Lagos,Foreign Used,2013,55909,Automatic,4300000
Toyota Camry,Lagos,Foreign Used,2008,57000,Automatic,2400000
Toyota Matrix XR,Lagos,Locally Used,2004,92486,Automatic,1320000
Toyota Camry 2.4 LE,Lagos,Locally Used,2008,125000,Automatic,1400000
Acura TL,Lagos,Foreign Used,2009,71000,Automatic,4900000
Mercedes-Benz E350,Lagos,Foreign Used,2014,12000,Automatic,13500000
Toyota Avensis 2.4 VVTi Executive,Lagos,Locally Used,2008,126000,Automatic,1350000
Toyota Camry 2.4,Lagos,Foreign Used,2006,98088,Automatic,1850000
Toyota Camry 2.4,Lagos,Locally Used,2008,99786,Automatic,1780000
Mercedes-Benz ML350,Lagos,Locally Used,2011,52000,Automatic,8800000
Toyota Camry 2.4,Lagos,Foreign Used,2008,99087,Automatic,2700000
Toyota RAV4 2.5 Limited,Lagos,Locally Used,2008,78098,Automatic,2350000
Toyota Camry SE,Lagos,Foreign Used,2008,65003,Automatic,3200000
Toyota Camry XLE,Lagos,Foreign Used,2008,55227,Automatic,2750000
Toyota Camry LE,Lagos,Foreign Used,2013,48592,Automatic,5800000
Toyota Highlander Limited,Lagos,Foreign Used,2012,45029,Automatic,9850000
Lexus RX 300,Lagos,Foreign Used,2000,69140,Automatic,2050000
Lexus RX 300,Lagos,Foreign Used,2000,69330,Automatic,2050000
Mercedes-Benz GLK 350,Lagos,Foreign Used,2010,46503,Automatic,7500000
Land Rover Range Rover Sport Sport,Lagos,Foreign Used,2007,64204,Automatic,5800000
Mercedes-Benz ML350,Lagos,Foreign Used,2008,57839,Automatic,5200000
Toyota Venza Limited AWD V6,Lagos,Foreign Used,2010,34883,Automatic,6500000
Lexus ES 350,Lagos,Foreign Used,2008,48559,Automatic,3800000
Toyota Avalon XLS,Lagos,Foreign Used,2008,56330,Automatic,2950000
Lexus ES 350,Lagos,Foreign Used,2008,58332,Automatic,3950000
Toyota Camry LE,Lagos,Foreign Used,2009,57829,Automatic,2700000
Lexus ES 350,Lagos,Foreign Used,2008,56338,Automatic,3300000
Honda Accord,Lagos,Foreign Used,2008,58224,Automatic,2700000
Toyota Camry LE,Lagos,Foreign Used,2008,56339,Automatic,2700000
Toyota Corolla,Lagos,Foreign Used,2006,58224,Automatic,2400000
Lexus ES 350,Lagos,Foreign Used,2008,58229,Automatic,3800000
Toyota Corolla LE 4-Speed Aut,Lagos,Foreign Used,2010,59000,Automatic,3300000
Lexus ES 350,Lagos,Foreign Used,2007,92000,Automatic,3400000
Toyota Yaris,Lagos,Foreign Used,2008,67830,Automatic,2350000
Toyota Camry,Lagos,Foreign Used,2004,76467,Automatic,1690000
Toyota Camry SE V6 Automatic,Lagos,Foreign Used,2008,87689,Automatic,2350000
Honda Pilot,Lagos,Foreign Used,2004,78302,Automatic,1670000
Mercedes-Benz ML350,Lagos,Foreign Used,2006,165263,Automatic,4480000
Toyota Camry LE,Lagos,Foreign Used,2011,1,Automatic,3000000
Honda Accord EX,Lagos,Foreign Used,2011,1,Automatic,3200000
Mercedes-Benz C300,Lagos,Foreign Used,2015,1,Automatic,18000000
Hyundai ix35 1.6,Lagos,Locally Used,2012,1,Automatic,3300000
Toyota Venza XLE AWD V6,Lagos,Foreign Used,2013,1,Automatic,8100000
Honda Accord CrossTour EX-L AWD,Lagos,Foreign Used,2011,1,Automatic,4700000
Mercedes-Benz C300,Lagos,Foreign Used,2013,1,Automatic,7700000
Lexus RX 350 AWD,Lagos,Foreign Used,2015,1,Automatic,12500000
Honda Accord EX,Lagos,Foreign Used,2013,1,Automatic,5400000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2011,1,Automatic,7600000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2010,1,Automatic,7600000
Lexus RX 350 AWD,Lagos,Foreign Used,2015,1,Automatic,13500000
Pontiac Vibe 1.8 Automatic,Lagos,Locally Used,2004,1,Automatic,1300000
Mercedes-Benz ML350,Lagos,Foreign Used,2012,1,Automatic,13500000
Toyota Corolla S,Lagos,Foreign Used,2014,1,Automatic,5700000
Hyundai ix35,Lagos,Locally Used,2013,1,Automatic,3600000
Toyota 4-Runner,Lagos,Foreign Used,2013,6365,Automatic,14500000
Toyota Land Cruiser 100 4.7 V8 Executive,Lagos,Foreign Used,2008,3457,Automatic,19000000
Land Rover Range Rover Sport,Lagos,Foreign Used,2010,34068,Automatic,13500000
Toyota Venza V6,Lagos,Foreign Used,2013,3457,Automatic,9000000
Lexus LX 570,Lagos,Foreign Used,2015,3457,Automatic,32000000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2014,20042,Automatic,14800000
Toyota Hilux 2.7 VVTI 4x2 Single Cab,Lagos,Foreign Used,2012,125943,Manual,14000000
Mercedes-Benz C240,Lagos,Foreign Used,2002,96437,Automatic,2800000
Nissan Pathfinder LE 4x4,Lagos,Foreign Used,2006,80000,Automatic,2500000
Honda Pilot EX 4WD Automatic,Lagos,Foreign Used,2004,90000,Automatic,1800000
Honda CR-V 2.0 4WD Automatic,Lagos,Foreign Used,2005,80000,Automatic,1650000
Land Rover Range Rover Evoque,Lagos,Foreign Used,2014,6554,Automatic,17500000
Lexus ES 350,Lagos,Foreign Used,2009,67542,Automatic,3550000
Toyota Corolla S Automatic,Lagos,Foreign Used,2010,68427,Automatic,3300000
Toyota 4-Runner,Lagos,Locally Used,2007,78742,Automatic,2480000
Lexus ES 300,Lagos,Foreign Used,2004,69872,Automatic,2280000
Toyota Sienna LE 7 Passenger Mobility,Lagos,Foreign Used,2008,68752,Automatic,2700000
Honda Pilot EX 4WD Automatic,Lagos,Foreign Used,2008,68572,Automatic,3200000
Toyota Camry 2.4,Lagos,Foreign Used,2010,67748,Automatic,3500000
Lexus RX 3.3 Auto,Lagos,Foreign Used,2009,41752,Automatic,5450000
Honda Accord EX V6 Automatic,Lagos,Foreign Used,2009,100246,Automatic,2650000
Honda Accord,Lagos,Foreign Used,2013,63394,Automatic,5000000
Toyota Highlander Limited V6 4x4,Lagos,Foreign Used,2006,698742,Automatic,2800000
Mercedes-Benz CLA-Class,Lagos,Foreign Used,2014,69000,Automatic,14500000
Mercedes-Benz ML350,Lagos,Locally Used,2013,85000,Automatic,9800000
Toyota Highlander Limited 4x4,Lagos,Foreign Used,2013,53000,Automatic,10500000
Toyota RAV4 2.5 Limited 4x4,Lagos,Foreign Used,2017,35946,Automatic,13800000
Land Rover Range Rover Vogue,Lagos,Locally Used,2014,25000,Automatic,42500000
Toyota Venza Limited AWD V6,Lagos,Locally Used,2010,54253,Automatic,4500000
BMW X6 xDrive 35i,Lagos,Locally Used,2012,82000,Automatic,6850000
Mercedes-Benz ML350,Lagos,Foreign Used,2013,39594,Automatic,12500000
Mercedes-Benz GLE,Lagos,Foreign Used,2016,17299,Automatic,36800000
Lexus RX 400h,Lagos,Foreign Used,2010,64000,Automatic,5900000
Toyota Highlander V6,Lagos,Foreign Used,2013,45726,Automatic,9500000
Mercedes-Benz C300,Lagos,Foreign Used,2008,119115,Automatic,5500000
Cadillac Escalade,Lagos,Foreign Used,2015,53726,Automatic,28000000
Toyota Corolla 1.8,Lagos,Brand New,2017,1600,Automatic,11500000
Land Rover Range Rover Vogue,Lagos,Locally Used,2014,24000,Automatic,33000000
Land Rover Range Rover Sport,Lagos,Foreign Used,2011,63217,Automatic,13500000
Toyota RAV4,Lagos,Foreign Used,2002,101780,Automatic,1500000
Toyota Highlander,Lagos,Foreign Used,2014,15000,Automatic,14200000
Jeep Wrangler,Lagos,Foreign Used,2009,59752,Automatic,10000000
Toyota Camry,Lagos,Locally Used,2005,11111,Automatic,1250000
Toyota Avensis,Lagos,Locally Used,2008,86000,Automatic,1300000
Toyota Avalon Touring,Lagos,Foreign Used,2006,94000,Automatic,3000000
Toyota Camry 2.4 LE,Lagos,Foreign Used,2010,85,Automatic,3200000
Toyota RAV4 Automatic,Lagos,Foreign Used,2007,83,Automatic,3500000
Toyota Camry 2.4 LE,Lagos,Foreign Used,2011,87,Automatic,3200000
Lexus RX 350 F SPORT AWD,Lagos,Foreign Used,2010,86,Automatic,7500000
Toyota Corolla 1.8,Lagos,Foreign Used,2008,75,Automatic,2400000
Toyota Camry SE V6 Automatic,Ibadan,Foreign Used,2007,63000,Automatic,2650000
Lexus ES 350,Ibadan,Foreign Used,2009,67000,Automatic,3750000
